Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Log_TotalIncome,Log_LoanAmount,Income_Loan_Ratio,Risk_Category,Risk_Score,Predicted_Loan_Status,Estimated_Interest,Expected_Loss,Estimated_Profit
Male,No,0,Graduate,No,5849,0.0,127,360,1,Urban,Y,5849.0,8.674025985443025,4.844187086458591,46.05511811023622,Medium Risk,70,Y,15.24,0.0,15.24
Male,Yes,1,Graduate,No,4583,1508.0,128,360,1,Rural,N,6091.0,8.714567550836485,4.852030263919617,47.5859375,Medium Risk,60,Y,15.36,0.0,15.36
Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban,Y,3000.0,8.006367567650246,4.189654742026425,45.45454545454545,Medium Risk,70,Y,7.92,0.0,7.92
Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban,Y,4941.0,8.50532301884575,4.787491742782046,41.175,Medium Risk,60,Y,14.399999999999999,0.0,14.399999999999999
Male,No,0,Graduate,No,6000,0.0,141,360,1,Urban,Y,6000.0,8.699514748210191,4.948759890378168,42.5531914893617,Medium Risk,70,Y,16.919999999999998,0.0,16.919999999999998
Male,Yes,2,Graduate,Yes,5417,4196.0,267,360,1,Urban,Y,9613.0,9.170871628065816,5.58724865840025,36.00374531835206,Medium Risk,70,Y,32.04,0.0,32.04
Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,Y,3849.0,8.255568653283746,4.553876891600541,40.51578947368421,Medium Risk,60,Y,11.4,0.0,11.4
Male,Yes,3,Graduate,No,3036,2504.0,158,360,0,Semiurban,N,5540.0,8.61974977974133,5.062595033026967,35.063291139240505,Medium Risk,10,N,18.96,0.0,18.96
Male,Yes,2,Graduate,No,4006,1526.0,168,360,1,Urban,Y,5532.0,8.61830469278465,5.123963979403259,32.92857142857143,Medium Risk,70,Y,20.16,0.0,20.16
Male,Yes,1,Graduate,No,12841,10968.0,349,360,1,Semiurban,N,23809.0,10.077818939438902,5.855071922202427,68.22063037249283,Low Risk,80,Y,41.879999999999995,0.0,41.879999999999995
Male,Yes,2,Graduate,No,3200,700.0,70,360,1,Urban,Y,3900.0,8.268731832117737,4.248495242049359,55.714285714285715,Medium Risk,70,Y,8.4,0.0,8.4
Male,Yes,2,Graduate,Yes,2500,1840.0,109,360,1,Urban,Y,4340.0,8.375629627094451,4.6913478822291435,39.81651376146789,Medium Risk,70,Y,13.08,0.0,13.08
Male,Yes,2,Graduate,No,3073,8106.0,200,360,1,Urban,Y,11179.0,9.321792297270326,5.298317366548036,55.895,Medium Risk,70,Y,24.0,0.0,24.0
Male,No,0,Graduate,No,1853,2840.0,114,360,1,Rural,N,4693.0,8.453827315794417,4.736198448394496,41.166666666666664,Medium Risk,60,Y,13.68,0.0,13.68
Male,Yes,2,Graduate,No,1299,1086.0,17,120,1,Urban,Y,2385.0,7.776954403322442,2.833213344056216,140.2941176470588,Low Risk,90,Y,2.04,0.0,2.04
Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban,Y,4950.0,8.507142855562735,4.8283137373023015,39.6,Medium Risk,70,Y,15.0,0.0,15.0
Male,No,1,Not Graduate,No,3596,0.0,100,240,1,Urban,Y,3596.0,8.18757739559151,4.605170185988092,35.96,Medium Risk,60,Y,12.0,0.0,12.0
Female,No,0,Graduate,No,3510,0.0,76,360,0,Urban,N,3510.0,8.163371316459912,4.330733340286331,46.18421052631579,Medium Risk,20,N,9.12,0.0,9.12
Male,Yes,0,Not Graduate,No,4887,0.0,133,360,1,Rural,N,4887.0,8.494333897270154,4.890349128221754,36.744360902255636,Medium Risk,50,N,15.959999999999999,0.0,15.959999999999999
Male,Yes,0,Graduate,Yes,2600,3500.0,115,360,1,Urban,Y,6100.0,8.716044050161402,4.74493212836325,53.04347826086956,Medium Risk,70,Y,13.799999999999999,0.0,13.799999999999999
Male,Yes,0,Not Graduate,No,7660,0.0,104,360,0,Urban,N,7660.0,8.943767262734637,4.6443908991413725,73.65384615384616,Low Risk,30,N,12.48,0.0,12.48
Male,Yes,1,Graduate,No,5955,5625.0,315,360,1,Urban,Y,11580.0,9.357034751126987,5.752572638825633,36.76190476190476,Medium Risk,70,Y,37.8,0.0,37.8
Male,Yes,0,Not Graduate,No,2600,1911.0,116,360,0,Semiurban,N,4511.0,8.414274137408396,4.7535901911063645,38.88793103448276,Medium Risk,0,N,13.92,0.0,13.92
